J, B, T, O, m, chi, E0, E1, E2, E3, p0, p1, p2, p3, boundary 
, 00.7129032258064516, 1.7741935483870968, 0.0, 0.7415753061178856, 0.3831086852210709, 0.26225668524345486, -2.4423789566194145, -0.3156715924995598, 1.883870296451929, 4.010577660571778, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 1.935483870967742, 0.0, 0.7347285256869192, 0.4259624304013996, 0.26880249926395167, -2.5076124539890836, -0.4114580252300743, 1.9508328307428593, 4.046987259501869, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 2.096774193548387, 0.0, 0.7246235659540549, 0.4698191688546037, 0.2747195513807638, -2.5798400991578587, -0.5112292930800081, 2.0085522353542546, 4.077163041432101, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 2.258064516129032, 0.0, 0.7109352441598258, 0.5145816405242266, 0.2800614928829337, -2.6592157028698367, -0.6155445677406386, 2.0568322016358613, 4.100503336765064, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 2.4193548387096775, 0.0, 0.6932943583851907, 0.5601615859136145, 0.2848847634614899, -2.7458781105524865, -0.7248843686357003, 2.0955322639710636, 4.116526005887853, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 2.5806451612903225, 0.0, 0.6712546314366002, 0.6064799513182556, 0.2892375092705631, -2.8399526611958406, -0.8396649162770261, 2.124552586338506, 4.124840331257319, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 2.7419354838709675, 0.0, 0.644254976252871, 0.6534640082589575, 0.2931830789388311, -2.9415525985231366, -0.9602281801457452, 2.1438313910912403, 4.125155809468636, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 2.903225806451613, 0.0, 0.6115232599532294, 0.7010551380727172, 0.29676120193063393, -3.050780384562933, -1.0869189787606532, 2.153310128947824, 4.1171715347501, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 3.064516129032258, 0.0, 0.571998193628036, 0.7491934282365813, 0.3000035979993094, -3.1677288937571895, -1.2199766872322746, 2.152972910542863, 4.100725117067777, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 3.225806451612903, 0.0, 0.5240566174491964, 0.7978304922660429, 0.30295499598092995, -3.2924824829208053, -1.3596471097385874, 2.1428007840979526, 4.075636157280175, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 3.3870967741935485, 0.0, 0.4650260829734622, 0.8469208462949458, 0.3056556613718781, -3.4251179406956234, -1.5061310417280749, 2.122790215714155, 4.041777114681704, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 3.5483870967741935, 0.0, 0.3898099781571624, 0.8964290927085842, 0.30812138818482315, -3.5657053254525595, -1.6596285632097905, 2.0929363311428926, 3.9990130933856625, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 3.7096774193548385, 0.0, 0.2858315928638465, 0.9463148424835984, 0.31031096049471213, -3.7143087022065044, -1.8202775488320158, 2.053253466057707, 3.9472846194321933, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 3.870967741935484, 0.0, 0.07397611923591954, 0.9965294025455881, 0.16642398425441185, -3.870986788994284, -1.988164247213798, 2.003769602493, 3.886592144273483, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 4.032258064516129, 0.0, 4.879916339218431e-05, 0.999999998694699, 0.010758852106431583, -4.0322580643054335, -1.9999999950246758, 2.0000000018158897, 4.032258071096651, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 4.193548387096774, 0.0, 1.2336339862611061e-06, 0.9999999999992757, 3.798922076914124e-09, -4.1935483870965164, -1.9999999999969162, 2.0000000000012594, 4.193548387100856, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 4.354838709677419, 0.0, 1.383682404515669e-05, 0.9999999999201578, -1.0016698581694073e-11, -4.354838709630961, -1.9999999996229096, 2.0000000001689755, 4.354838710177024, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 4.516129032258064, 0.0, 3.2077487632628434e-06, 0.9999999999960445, 2.470415094713019e-10, -4.516129032254783, -1.9999999999794003, 2.000000000009966, 4.516129032285355, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 4.67741935483871, 0.0, 6.534050956496606e-07, 0.9999999999998486, 1.2234868673743905e-11, -4.677419354838545, -1.999999999999135, 2.000000000000445, 4.677419354839851, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 4.838709677419355, 0.0, 1.7124711227081333e-07, 0.9999999999999912, 3.988920305175725e-13, -4.83870967741934, -1.999999999999946, 2.000000000000033, 4.838709677419432, 1.0, 0.0, 0.0, 0.0
, 00.7129032258064516, 5.0, 0.0, 2.2284194130937863e-07, 0.9999999999999772, -8.673062268371723e-14, -4.999999999999965, -1.9999999999998443, 2.0000000000000897, 5.000000000000208, 1.0, 0.0, 0.0, 0.0
