J, B, T, Ox, Oy, p1, p2, p3, p4, m, chi
0.5897637795275591, 0.0, 0.1, 0.5303202363334855, 5.6032505988624855e-09, 0.9999999998862863, 5.685345159912982e-11, 5.6853443628304964e-11, 3.232314505933249e-21, 1.3877787813469012e-17, 0.23999914762152647
0.5897637795275591, 0.1, 0.1, 0.5322644949530086, -5.540110244420354e-08, 0.9999999998477309, 1.2861662888063802e-10, 2.3651346193447274e-11, 3.041956416353325e-21, 0.011999957381076337, 0.23999914762152647
0.6054330708661417, 0.0, 0.1, 0.5638740848100634, -3.490662854294775e-08, 0.9999999999392372, 3.0380831468484355e-11, 3.0380802505210977e-11, 9.229940408442113e-22, 1.387778780619887e-17, 0.2638906683631925
0.6054330708661417, 0.1, 0.1, 0.5654447275055979, 3.566517548671673e-08, 0.9999999999196517, 6.740071839427106e-11, 1.2946807743118497e-11, 8.726241428688176e-22, 0.013194533418159642, 0.2638906683631925
0.6211023622047245, 0.0, 0.1, 0.5932474347472194, 1.7581644046606933e-08, 0.999999999967533, 1.6231027610401137e-11, 1.6231019198495603e-11, 2.634461207642864e-22, 1.3877787806804715e-17, 0.2844111163918887
0.6211023622047245, 0.1, 0.1, 0.5945287380506192, -3.956207621320899e-08, 0.9999999999575988, 3.534302974921367e-11, 7.0762497666301186e-12, 2.5009610602548434e-22, 0.01422055581959445, 0.2844111163918887
0.6367716535433071, 0.0, 0.1, 0.6192286868332348, -6.288496847625235e-08, 0.99999999998266, 8.672466133192373e-12, 8.672448929813314e-12, 7.521151963694983e-23, 1.3877787807511534e-17, 0.3020007344145753
0.6367716535433071, 0.1, 0.1, 0.6202803372205907, 4.023145610282729e-09, 0.9999999999775816, 1.8550187272817864e-11, 3.8633911076041175e-12, 7.166662855580347e-23, 0.01510003672072878, 0.3020007344145753
0.6524409448818898, 0.0, 0.1, 0.6424203592706605, 9.903705675236245e-09, 0.999999999990743, 4.633788833817015e-12, 4.633787295009702e-12, 2.1471991826098502e-23, 1.3877787807309586e-17, 0.3170497296910835
0.6524409448818898, 0.1, 0.1, 0.6432864048434589, -1.878018714721777e-08, 0.9999999999881565, 9.743716015188887e-12, 2.106935301645867e-12, 2.052937924185724e-23, 0.01585248648455419, 0.3170497296910835
0.6681102362204725, 0.0, 0.1, 0.6632716725471864, -6.798371922746455e-08, 0.999999999995057, 2.475883094942834e-12, 2.475877127835673e-12, 6.1299823259943486e-24, 1.3877787807965918e-17, 0.329888541780996
0.6681102362204725, 0.1, 0.1, 0.6639859374502526, -8.889265464070707e-09, 0.999999999993725, 5.121684588831049e-12, 1.1478553668926159e-12, 5.878953142857847e-24, 0.016494427089049815, 0.329888541780996
0.6837795275590551, 0.0, 0.1, 0.6821322973102062, -8.962236534404843e-09, 0.9999999999973577, 1.3228901153578039e-12, 1.3228896729584811e-12, 1.7500376720703307e-24, 1.3877787807801835e-17, 0.34080083366433717
0.6837795275590551, 0.1, 0.1, 0.6827212969885771, -4.035731351747897e-08, 0.999999999996677, 2.693980808018332e-12, 6.247546164637783e-13, 1.683076946479838e-24, 0.017040041683216874, 0.34080083366433717
0.6994488188976378, 0.0, 0.1, 0.6992805767446171, -5.444777832652109e-08, 0.9999999999985797, 7.068363285440591e-13, 7.06834822646047e-13, 4.99616530926934e-25, 1.387778780777028e-17, 0.35003077068876737
0.6994488188976378, 0.1, 0.1, 0.6997651557499988, -2.7874459363971446e-08, 0.9999999999982435, 1.4179280113672481e-12, 3.3974215427234177e-13, 4.817299171858555e-25, 0.017501538534438383, 0.35003077068876737
0.7151181102362205, 0.0, 0.1, 0.7149419662305945, 2.8751561296888384e-08, 0.9999999999992345, 3.7767140760676634e-13, 3.7767096347338776e-13, 1.426355243873073e-25, 1.387778780782708e-17, 0.357789187528145
